时间,,No,1T,1RH,2T,2RH,3T,3RH,4T,4RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:55:55,,28,30.5,55.7,31.9,54.6,31.7,56,31.8,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:57:55,,29,30.5,55.9,32,54.6,31.7,55.1,31.8,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:59:55,,30,30.6,55.2,32,54.3,31.7,55.1,31.8,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:01:55,,31,30.5,55.3,32,54.5,31.7,55.3,31.8,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:03:55,,32,30.5,55.6,32,54.7,31.8,55.1,31.8,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:05:55,,33,30.5,56,32.1,55,31.8,55.3,31.8,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:07:55,,34,30.6,56.5,32.1,55,31.8,55.4,31.8,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:09:55,,35,30.7,56.6,32.1,55.1,31.8,55.5,31.8,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:11:55,,36,30.7,57,32.1,55.1,31.8,55.5,31.8,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:13:55,,37,30.7,57.4,32.1,54.8,31.9,55.5,31.8,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:15:55,,38,30.7,57.5,32.1,55,31.8,55.5,31.8,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:17:55,,39,30.7,57.4,32.1,55,31.8,55.6,31.8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:19:55,,40,30.7,57.4,32,55.2,31.8,55.6,31.8,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:21:55,,41,30.7,57.6,32,55,31.8,55.6,31.8,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:23:55,,42,30.7,58.1,32,55,31.8,55.9,31.8,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:25:55,,43,30.6,58.4,32,55.5,31.8,55.9,31.8,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:27:55,,44,30.7,58.7,32,54.9,31.8,55.8,31.8,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:29:55,,45,30.7,58.6,32,55.4,31.9,55.6,31.8,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:31:55,,46,30.7,58.9,32,55.5,31.9,55.8,31.8,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:33:55,,47,30.7,58.9,32,55.6,31.9,55.7,31.8,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:35:55,,48,30.7,59.1,32.1,55.7,31.9,56.1,31.8,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:37:55,,49,30.7,58.9,32.1,55.9,31.8,56.3,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:39:55,,50,30.7,59.6,32.1,55.8,31.8,56.4,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:41:55,,51,30.7,59.4,32.1,56,31.8,56.4,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:43:55,,52,30.6,59.4,32.1,55.9,31.8,56.4,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:45:55,,53,30.6,59.4,32.1,55.8,31.8,56.4,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:47:55,,54,30.6,59.5,32,55.9,31.8,56.3,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:49:55,,55,30.7,59.1,32,55.9,31.8,56.2,31.8,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:51:55,,56,30.6,59.2,32,55.9,31.7,56.3,31.8,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:53:55,,57,30.7,59.1,32,56,31.8,56.3,31.7,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:55:55,,58,30.6,59,32,56,31.8,56.2,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:57:55,,59,30.6,59.2,32,56.1,31.8,56.1,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:59:55,,60,30.7,59.2,32,56,31.9,56,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:01:55,,61,30.7,59,32.1,56,31.9,56,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:03:55,,62,30.7,59,32.1,55.9,31.8,56.2,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:05:55,,63,30.6,59.2,32,55.9,31.7,56.3,31.8,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:07:55,,64,30.7,59,32,55.7,31.8,56.3,31.7,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:09:55,,65,30.7,59,32,55.3,31.8,56.3,31.7,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
02:11:55,,66,30.7,59,32,55.4,31.8,56.3,31.7,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:13:55,,67,30.7,58.7,32,55.3,31.8,56.4,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:15:55,,68,30.7,59,32,55.3,31.8,56.3,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:17:55,,69,30.7,59.2,32,55.4,31.8,56.4,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:19:55,,70,30.7,59.2,32,55.7,31.8,56.3,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:21:55,,71,30.7,59.2,32,55.8,31.8,56.3,31.8,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:23:55,,72,30.7,59,32,55.5,31.8,56,31.8,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:25:55,,73,30.7,59.1,32,55.4,31.8,56,31.8,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:27:55,,74,30.6,59,32.1,55.4,31.8,56,31.8,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:29:55,,75,30.6,59,32.1,55.1,31.8,55.9,31.8,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:31:55,,76,30.6,59,31.9,54.6,31.7,56.1,31.7,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:33:55,,77,30.7,58.7,31.9,55.3,31.7,56.1,31.7,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:35:55,,78,30.7,58.5,32,55.5,31.8,56,31.7,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:37:55,,79,30.7,58.5,31.9,55.1,31.8,55.4,31.7,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:39:55,,80,30.7,58.6,31.9,55.1,31.9,55.3,31.7,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:41:55,,81,30.7,58.5,31.9,55.4,31.8,55.6,31.7,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:43:55,,82,30.7,58.5,31.9,55.3,31.8,56.2,31.7,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:45:55,,83,30.7,58.4,31.9,54.6,31.8,56.2,31.7,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:47:55,,84,30.7,58.4,32,55.7,31.8,56.2,31.7,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:49:55,,85,30.7,58.3,32,55,31.8,56.3,31.7,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:51:55,,86,30.7,58.4,31.9,54.7,31.7,56.1,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:53:55,,87,30.6,58.4,31.9,54.8,31.7,56.2,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:55:55,,88,30.6,58.5,31.9,54.8,31.7,56.2,31.7,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:57:55,,89,30.7,58.4,31.9,54.8,31.7,56.2,31.7,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:59:55,,90,30.6,58.5,31.9,54.8,31.7,56.3,31.7,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:01:55,,91,30.6,58.6,31.9,54.9,31.6,56.2,31.7,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:03:55,,92,30.6,58.7,31.8,55,31.7,56.2,31.7,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:05:55,,93,30.6,58.7,31.8,55.1,31.7,55.5,31.7,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:07:55,,94,30.6,58.7,31.9,55.1,31.8,55.5,31.7,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:09:55,,95,30.6,58.5,31.9,55.5,31.8,55.5,31.7,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:11:55,,96,30.7,58.3,32,55.7,31.8,55.8,31.7,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:13:55,,97,30.7,58.3,32,55.9,31.8,56,31.7,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:15:55,,98,30.7,58.3,32,55.9,31.7,56.1,31.7,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:17:55,,99,30.7,58.3,31.9,55.8,31.9,56,31.7,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:19:55,,100,30.7,58.4,32,56,31.8,56.2,31.7,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:21:55,,101,30.7,58.3,31.9,56.3,31.8,56.2,31.7,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:23:55,,102,30.7,58.3,32,56.3,31.8,56.4,31.7,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:25:55,,103,30.7,58.5,31.9,56.2,31.7,56.4,31.7,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:27:55,,104,30.7,58.6,32,56.2,31.7,56.6,31.7,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:29:55,,105,30.7,58.3,32,55.6,31.7,56.5,31.7,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:31:55,,106,30.8,58.3,32,56,31.8,56.5,31.8,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:33:55,,107,30.8,58.6,32,55.5,31.8,56.5,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:35:55,,108,30.8,58.7,32,55.8,31.9,56.3,31.7,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:37:55,,109,30.8,58.9,32.1,56,31.8,56.3,31.7,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:39:55,,110,30.8,59,32,56,31.8,56.4,31.7,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:41:55,,111,30.8,58.9,32,56.1,31.8,56.6,31.7,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:43:55,,112,30.8,58.5,32,56.2,31.8,56.6,31.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:45:55,,113,30.8,58.8,32,56.1,31.8,56.6,31.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:47:55,,114,30.8,58.5,32,56,31.8,56.5,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:49:55,,115,30.8,58.6,32.1,55.8,31.8,56.3,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:51:55,,116,30.8,58.9,32.1,55.7,31.8,56.2,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:53:55,,117,30.9,58.6,32.1,55.5,31.8,56.1,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:55:55,,118,30.9,58.9,32.1,55.6,31.8,56.1,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:57:55,,119,30.9,58.9,32.1,55.5,31.9,56.2,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:59:55,,120,30.9,58.9,32,55.7,31.9,55.9,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:01:55,,121,30.9,59,32.1,55.9,31.9,56,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:03:55,,122,30.9,59.2,32.1,56,31.9,56.2,31.7,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:05:55,,123,30.9,59.2,32.1,56.1,31.9,56.4,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:07:55,,124,30.9,59.3,32.1,56.3,31.9,56.6,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:09:55,,125,30.9,59.1,32.1,56,31.9,56.6,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:11:55,,126,30.9,59.2,32.1,55.6,31.8,56.7,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:13:55,,127,30.9,59.5,32.1,56,31.9,56.8,31.8,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:15:55,,128,30.9,59.5,32.1,56.5,31.9,56.8,31.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:55,,129,31,59.3,32.1,56.5,31.9,56.9,31.8,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:19:55,,130,30.9,59.6,32.1,56.6,31.9,56.9,31.7,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:21:55,,131,30.9,59.5,32.1,56.1,31.9,56.9,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:23:55,,132,31,59.4,32.1,56,31.9,56.8,31.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:25:55,,133,31,59.5,32.1,56.3,31.9,56.9,31.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:27:55,,134,30.9,59.4,32.1,56.4,31.9,56.7,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:29:55,,135,30.9,59.6,32.1,56.4,31.9,56.8,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:31:55,,136,31,59.5,32.1,56.3,31.9,56.7,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:33:55,,137,31,59.4,32.1,56.4,31.9,56.8,31.8,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:35:55,,138,31,59.1,32.1,56.5,31.9,56.8,31.8,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:37:55,,139,31,59.2,32.2,56.1,31.8,56.8,31.8,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:39:55,,140,31,59.1,32.1,56.1,31.9,56.7,31.8,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:41:55,,141,31,58.9,32.1,56.3,31.9,56.7,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:43:55,,142,31,59.3,32.1,56.3,31.8,56.7,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:45:55,,143,31,59.4,32.1,56.3,31.8,56.7,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:47:55,,144,31,59.3,32.1,56.3,31.9,56.6,31.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:49:55,,145,31,59.2,32.1,56.2,31.9,56.5,31.8,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:51:55,,146,31.1,59,32.1,56.2,31.9,56.5,31.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:53:55,,147,31,58.8,32.1,56.3,31.8,56.6,31.8,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:55:55,,148,31.1,59.3,32.2,55.9,31.9,56.4,31.8,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:57:55,,149,31.1,59.4,32,55.9,31.9,55.8,31.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:59:55,,150,31.1,59.1,32,56,31.7,56.1,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:01:55,,151,31,59,32,55.9,31.8,56.1,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:03:55,,152,31,58.9,32.1,55.8,31.8,56,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:05:55,,153,31,58.8,32.1,55.8,31.9,56.1,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:07:55,,154,31.1,58.7,32,55.4,31.9,55.6,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:09:55,,155,31.1,58.7,32,55.9,31.9,55.7,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:11:55,,156,31,58.9,32.1,55.6,32.1,55.2,31.9,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:13:55,,157,31.1,58.5,31.9,56,31.8,55.7,31.7,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:15:55,,158,30.9,58.9,32,55.7,32,55.5,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:17:55,,159,31,58.8,32.2,55.5,32.1,55.4,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:19:55,,160,31.1,58.3,31.8,56,31.8,55.6,31.7,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:21:55,,161,30.9,58.9,32,55.9,31.9,55.8,31.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:23:55,,162,31,58.7,32.1,55.7,32,55.5,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:25:55,,163,31,58.9,32.1,55.1,32.2,54.8,31.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27:55,,164,31.1,58.6,32,55.8,32,55.5,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:29:55,,165,31,58.8,32.1,55.6,32,55.6,31.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:31:55,,166,31.2,58.6,32.3,55.3,32.1,55.5,32,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:33:55,,167,31.2,58.6,32.2,55,32.5,53.9,32,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:35:55,,168,31,58.7,32.2,55.3,32.2,55.2,31.9,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:37:55,,169,31,58.9,32.7,54.3,32.4,54.6,32,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:39:55,,170,31.1,58.5,32.1,55.4,32.1,55.3,31.8,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:41:55,,171,31.2,58.8,33.5,51.7,33,53.4,32.3,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:43:55,,172,31.2,58.7,32.8,53.5,32.5,53.9,32.2,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:45:55,,173,31.2,58.5,32.1,55.3,31.8,55.5,31.9,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:47:55,,174,31,59.2,32.4,54.9,32.3,54.9,32.1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:49:55,,175,31.3,58.5,32.7,53.7,32.8,53.3,32.3,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:51:55,,176,31.2,58.7,32.1,55.4,31.9,55.6,31.9,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:53:55,,177,31,58.8,32.2,55.5,32.3,55.3,31.9,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:55:55,,178,31.2,58.9,32.2,55.4,32.2,55.2,31.9,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:57:55,,179,31.1,59.2,33,53.4,32.8,53.6,32.4,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:59:55,,180,31.3,58.7,32.5,54.4,32.5,54.5,32.1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:01:55,,181,31.3,58.6,33.1,52.5,33.8,51.3,32.5,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:03:55,,182,31.1,59.9,32.2,55.7,31.3,59,32,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:05:55,,183,30.9,61.3,32.1,57.1,30.9,60.3,31.8,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:07:55,,184,31.1,60.3,32.7,54.7,32.4,55.9,31.9,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:09:55,,185,30.9,61.9,32.4,55.5,32.2,56.1,31.9,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:11:55,,186,30.9,62.6,32.2,56.9,31.4,59.4,31.9,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:13:55,,187,30.8,62.4,32.2,56.9,31.2,59.9,31.8,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:15:55,,188,30.8,63,31.8,58.9,30.8,61.6,31.6,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:17:55,,189,30.8,62.4,31.9,58.4,31.2,60.4,31.6,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
